id,curso,maior_nota,menor_nota,media,atingiu_media,faltas,status,atraso,acordo,periodo,Label,Score
655,Enfermagem,0,0,0,0,28,Cursando,1,0,8,1,0.7974
741,Biologia,0,0,0,0,30,Cursando,1,0,8,0,0.2001
748,Matemática,"5,08","1,13","2,87",0,10,Cursando,0,0,4,1,0.7714
1164,Administração,0,0,0,0,40,Cursando,1,1,6,1,0.5339
1174,Enfermagem,0,0,0,0,4,Cursando,1,0,10,0,0.0033
1436,Administração,"5,7",0,"3,03",0,16,Evadido,1,1,8,0,0.0807
4659,Letras,"7,12","5,2","5,85",1,8,Cursando,0,1,10,0,0.0004
5085,Enfermagem,"8,1","2,46","5,6",1,10,Evadido,1,0,6,0,0.0084
5352,Administração,"8,7","6,75","7,7",1,20,Aluno Formado,0,0,10,0,0.0006
6521,Enfermagem,3,"0,5","1,45",0,40,Outros,1,0,6,1,0.9307
8221,Administração,"1,75",0,"0,86",0,8,Cursando,0,0,8,0,0.0057
8230,Enfermagem,4,0,"1,27",0,14,Evadido,0,0,8,1,0.8067
8378,Matemática,"6,3",5,"5,43",1,8,Aluno Formado,1,0,10,0,0.0004
8392,Enfermagem,"9,1","0,5","5,23",1,26,Cursando,0,0,10,0,0.0002
8486,Enfermagem,"5,15","2,8","4,32",0,10,Cursando,0,0,10,0,0.0348
8539,Administração,"8,8",5,"6,27",1,6,Cursando,0,0,2,0,0.0001
9695,Enfermagem,"7,9","0,15","3,71",0,12,Evadido,0,0,6,0,0.3218
9733,Enfermagem,"5,21","5,21","5,21",1,6,Aluno Formado,1,0,10,0,0.0002
9780,Enfermagem,"5,6","2,7","4,58",0,10,Cursando,1,0,10,0,0.0657
9903,Educação Física,"8,1","6,84","7,61",1,6,Aluno Formado,0,0,10,0,0.0001
9918,Administração,"8,98","1,53","4,92",0,6,Cursando,0,0,8,0,0.0016
9935,Educação Física,"7,51","6,88","7,2",1,10,Aluno Formado,0,0,10,0,0.0004
10179,Administração,"8,5",5,"5,77",1,14,Evadido,1,0,8,0,0.0226
10236,Biologia,"7,95",5,"6,31",1,4,Cursando,0,0,4,0,0.0002
11362,Educação Física,"8,15","2,9","6,25",1,18,Cursando,0,0,8,0,0.0007
11390,Administração,0,0,0,0,42,Cursando,1,0,4,0,0.3848
11547,História,"1,2",0,"0,56",0,38,Cursando,0,0,4,0,0.1041
12101,Letras,"1,9","0,5","0,87",0,52,Cursando,0,0,6,1,0.9937
12118,Educação Física,"6,5","5,92","6,14",1,6,Aluno Formado,1,0,10,0,0.0002
12171,Administração,"6,25","5,2","5,65",1,12,Evadido,1,0,8,0,0.0003
12195,Administração,5,0,"2,02",0,36,Aluno Formado,1,0,10,0,0.0008
12268,Biologia,"5,35",5,"5,18",1,10,Aluno Formado,1,0,10,0,0.0003
12311,Matemática,"3,15","0,25","1,16",0,22,Cursando,1,0,10,0,0.0019
12326,Matemática,"8,68",5,"6,43",1,9,Cursando,0,0,8,0,0.0176
12328,Biologia,"5,63","4,38","5,13",1,7,Aluno Formado,0,0,10,0,0.0002
12334,Letras,"7,5",1,"4,5",0,28,Cursando,0,0,10,0,0.0041
12350,Letras,"6,4","5,9","6,15",1,8,Aluno Formado,1,0,10,0,0.0001
12354,Enfermagem,"5,15","5,15","5,15",1,4,Aluno Formado,1,1,10,0,0.0
12437,Enfermagem,6,5,"5,4",1,16,Aluno Formado,1,0,10,0,0.0
12449,Administração,"8,48","1,28","4,72",0,12,Cursando,0,0,10,0,0.0007
12463,Administração,5,"4,53","4,84",0,38,Cursando,1,0,10,0,0.0003
12487,Matemática,"7,5","4,18","5,86",1,8,Cursando,1,0,10,0,0.0
12506,Educação Física,"3,98","1,98","3,06",0,28,Evadido,1,0,9,1,0.9743
12555,Administração,"5,14","0,5","2,97",0,36,Aluno Formado,1,0,10,0,0.0004
12558,Gastronomia,5,"4,05","4,47",0,20,Cursando,1,0,10,0,0.0001
12622,Letras,5,5,5,1,27,Aluno Formado,1,0,10,0,0.0
13783,Letras,"8,34","1,74","3,95",0,6,Cursando,1,0,8,0,0.0019
13788,Biologia,"7,35","3,25","5,45",1,8,Cursando,0,0,10,0,0.0
13795,Matemática,0,0,0,0,48,Evadido,1,0,4,0,0.3131
13877,Biologia,"8,3",0,"3,79",0,18,Cursando,1,0,10,0,0.0004
14192,Matemática,"7,7",5,"6,02",1,12,Aluno Formado,1,0,10,0,0.0
14210,Educação Física,"8,03","5,88","6,59",1,2,Aluno Formado,0,0,10,0,0.0
14514,Letras,"7,25","1,25","4,05",0,8,Cursando,0,0,10,0,0.0003
14669,Biologia,0,0,0,0,22,Cursando,1,0,6,0,0.3066
14731,Biologia,"0,75","0,75","0,75",0,22,Cursando,1,1,10,0,0.0003
14741,Educação Física,"8,89","5,79","7,64",1,12,Cursando,0,0,6,0,0.0017
14742,Letras,"8,95","7,41","8,09",1,4,Cursando,0,0,10,0,0.0
14756,Administração,"8,4","0,82","5,7",1,8,Cursando,1,0,4,0,0.0004
14759,Enfermagem,"1,92",0,"0,84",0,38,Cursando,0,0,8,1,0.9657
14784,Letras,"1,75","0,7","1,23",0,27,Aluno Formado,0,0,10,0,0.0044
14793,Biologia,"0,75",0,"0,11",0,58,Cursando,0,0,4,0,0.2884
14819,Biologia,"7,4",0,"4,39",0,16,Cursando,1,1,10,0,0.001
14830,Biologia,7,"3,6","5,14",1,8,Cursando,0,0,10,0,0.0
