id;curso;maior_nota;menor_nota;media;atingiu_media;faltas;status;evadiu;atraso;acordo;periodo
519;Educação Física;2;1;1,67;0;32;Evadido;1;1;0;6
655;Enfermagem;5;0;0,94;0;18;Cursando;0;1;0;8
741;Biologia;2,5;0;0,58;0;62;Cursando;0;1;0;8
748;Matemática;0;0;0;0;40;Cursando;0;0;0;8
1016;Enfermagem;3,5;0;1,17;0;14;Evadido;1;1;0;10
1164;Administração;0;0;0;0;56;Cursando;0;1;0;8
1174;Enfermagem;0;0;0;0;4;Outros;0;1;0;10
1436;Administração;5;1;3,08;0;24;Cursando;0;1;0;6
4659;Letras;6,5;5;5,64;1;6;Cursando;0;1;0;8
5352;Administração;8;2,5;4,97;0;28;Cursando;0;1;0;10
6043;Biologia;6;0;1,07;0;14;Cursando;0;1;1;8
6521;Enfermagem;0,5;0;0,08;0;52;Cursando;0;0;0;8
8221;Administração;6,5;5;5,5;1;8;Cursando;0;1;0;6
8378;Matemática;8,5;3;6,17;1;8;Cursando;0;1;0;8
8392;Enfermagem;10;5;7,44;1;10;Cursando;0;0;0;8
8486;Enfermagem;9;0,5;3,7;0;10;Cursando;0;0;0;8
8558;Administração;6,5;0,5;2,67;0;16;Cursando;0;0;0;10
9678;Letras;9,5;7;8,19;1;6;Cursando;0;0;0;10
9733;Enfermagem;1;1;1;0;2;Cursando;0;0;0;10
9780;Enfermagem;5,5;0;3,42;0;8;Cursando;0;1;0;10
9903;Educação Física;8,5;5,5;7,1;1;8;Cursando;0;0;0;8
9918;Administração;7;3;5,33;1;0;Cursando;0;0;0;6
9935;Educação Física;6,5;2,5;4,83;0;12;Cursando;0;1;0;8
9965;Administração;5;5;5;1;16;Cursando;0;1;1;10
10003;Educação Física;6;6;6;1;16;Cursando;0;0;0;10
10063;Biologia;5,5;0;3,71;0;23;Cursando;0;1;0;10
10129;Administração;1;0;0,25;0;28;Cursando;0;0;0;10
10137;Administração;4;0;2;0;18;Cursando;0;1;0;10
10179;Administração;6,5;1;4,5;0;20;Cursando;0;1;0;6
10188;Administração;7;0,5;3,5;0;20;Cursando;0;0;0;10
10236;Biologia;9;7;7,58;1;6;Cursando;0;1;0;2
11362;Educação Física;7;4,5;5,5;1;12;Cursando;0;1;0;8
11547;História;8;2;5,38;1;18;Cursando;0;0;0;4
11583;Educação Física;5;5;5;1;4;Cursando;0;1;0;10
11674;Biologia;0;0;0;0;30;Cursando;0;0;0;8
12100;Biologia;7,5;5;5,86;1;6;Cursando;0;0;0;10
12118;Educação Física;9;6,5;7,7;1;16;Cursando;0;1;0;8
12130;Administração;5,5;0;2,1;0;52;Evadido;1;0;0;8
12181;Enfermagem;5;3,5;4,5;0;6;Cursando;0;1;0;10
12195;Administração;9,5;1;3,88;0;34;Cursando;0;0;0;10
12197;Enfermagem;9;0,5;4,07;0;34;Cursando;0;1;0;8
12200;Educação Física;7;2;5;1;16;Cursando;0;1;0;10
12229;Administração;5;5;5;1;8;Cursando;0;1;0;10
12252;Enfermagem;5,5;0;2,31;0;14;Evadido;1;0;0;8
12262;Administração;5;0;2,13;0;36;Cursando;0;1;1;10
12268;Biologia;7;0,5;4,86;0;10;Cursando;0;1;0;8
12311;Matemática;7,5;1,5;4,6;0;14;Cursando;0;0;0;10
12326;Matemática;8,5;4;6,06;1;12;Cursando;0;0;0;6
12328;Biologia;7,5;1,5;5,44;1;8;Cursando;0;1;0;10
12334;Letras;9;7;8,19;1;12;Cursando;0;0;0;8
12349;Enfermagem;6;6;6;1;10;Cursando;0;1;0;10
12350;Letras;9,5;6;8,5;1;16;Cursando;0;1;0;8
12354;Enfermagem;5,5;0;2,75;0;12;Cursando;0;1;1;10
12397;Administração;5,5;4;4,88;0;16;Cursando;0;1;0;10
12401;Educação Física;5,5;5,5;5,5;1;8;Cursando;0;0;0;10
12437;Enfermagem;8;0;5,22;1;22;Cursando;0;0;0;8
12441;Matemática;9;5;7,25;1;20;Cursando;0;1;0;10
12449;Administração;6;3;4,42;0;12;Cursando;0;0;0;8
12462;Administração;0;0;0;0;76;Evadido;1;0;0;6
12463;Administração;7;1;3,57;0;16;Cursando;0;1;0;8
12487;Matemática;7;4,5;5,69;1;8;Cursando;0;0;0;8
12506;Educação Física;0;0;0;0;20;Cursando;0;1;0;8
12519;Biologia;2;0;0,83;0;40;Evadido;1;1;1;8
12526;Educação Física;8,5;5;6,44;1;8;Cursando;0;0;0;10
12548;Enfermagem;8,5;6;7,25;1;4;Cursando;0;1;0;10
12555;Administração;5;1,5;4;0;28;Cursando;0;1;0;10
12558;Gastronomia;7,5;5;5,56;1;12;Cursando;0;1;0;8
12622;Letras;10;7,5;8,44;1;10;Cursando;0;1;0;10
13783;Letras;10;6,5;7,94;1;6;Cursando;0;1;0;8
13788;Biologia;6;1,5;4;0;8;Cursando;0;1;0;8
13795;Matemática;0;0;0;0;30;Cursando;0;0;0;2
13877;Biologia;7,5;2;5,67;1;23;Cursando;0;1;0;8
14105;Matemática;0,5;0,5;0,5;0;34;Cursando;0;0;0;10
14157;Administração;7;0;3,7;0;28;Evadido;1;0;0;8
14192;Matemática;8;2;5,39;1;20;Cursando;0;0;0;8
14210;Educação Física;6,5;5;5,63;1;6;Cursando;0;0;0;8
14514;Letras;10;7;8,5;1;8;Cursando;0;1;0;8
14669;Biologia;0;0;0;0;40;Cursando;0;1;0;4
14731;Biologia;8,5;1,5;5,75;1;35;Cursando;0;1;0;8
14733;Educação Física;8;5;6,83;1;20;Cursando;0;0;0;4
14742;Letras;8;6,5;7,2;1;4;Cursando;0;1;0;8
14756;Administração;7;1,5;5,67;1;8;Cursando;0;0;0;2
14759;Enfermagem;5;0;1,4;0;22;Cursando;0;0;0;6
14777;Administração;7,3;1;4,72;0;16;Cursando;0;1;1;10
14784;Letras;10;6,5;8,44;1;20;Cursando;0;1;0;8
14793;Biologia;0,5;0;0,1;0;38;Cursando;0;0;0;6
14797;Educação Física;7,5;2,5;5,3;1;10;Cursando;0;0;0;10
14805;Biologia;6;5;5,4;1;21;Cursando;0;0;0;10
14819;Biologia;8;0,5;4;0;10;Evadido;1;1;0;8
14830;Biologia;7,5;0;4,27;0;12;Cursando;0;1;0;8
14842;Letras;10;7;8,2;1;8;Cursando;0;1;0;10
14850;Enfermagem;9,5;6,5;8,3;1;6;Cursando;0;1;0;10
14851;Enfermagem;10;5;6;1;8;Cursando;0;1;0;8
14853;Administração;7;2,5;5,2;1;16;Cursando;0;0;0;6
14862;Enfermagem;8,5;1,5;5,2;1;16;Cursando;0;1;0;10
14872;Educação Física;3;3;3;0;8;Cursando;0;0;0;10
14876;Educação Física;5;5;5;1;10;Cursando;0;0;0;10
14880;Administração;8,5;2;5,19;1;8;Cursando;0;1;0;8
14888;Educação Física;6;5;5,5;1;20;Cursando;0;1;1;10
14889;Administração;5,5;1,5;4,14;0;8;Cursando;0;0;0;8
14893;Letras;10;7;8,19;1;9;Cursando;0;1;0;10
14903;Letras;10;4;6,38;1;16;Cursando;0;1;0;6
14916;Administração;5;2;4;0;16;Cursando;0;1;0;8
14917;Biologia;7,5;0;4,79;0;28;Cursando;0;0;0;10
14928;Educação Física;6,5;5,5;5,83;1;14;Cursando;0;1;0;10
14932;História;2,5;0;0,42;0;14;Cursando;0;1;0;4
14933;Administração;6,8;1;4,36;0;44;Cursando;0;1;1;6
14934;Enfermagem;8;4,5;5,63;1;8;Cursando;0;1;0;8
14941;Matemática;5;0;1,83;0;62;Cursando;0;1;0;8
14942;Biologia;9;5;6,08;1;32;Cursando;0;1;0;10
14955;Educação Física;5,5;1,5;4,71;0;2;Cursando;0;0;0;8
14964;Educação Física;7,5;1;3,67;0;8;Cursando;0;1;0;8
14965;Enfermagem;6,5;2,5;4,33;0;10;Cursando;0;0;0;8
14985;Administração;0,5;0;0,36;0;44;Evadido;1;1;0;6
14986;Administração;5;0;2,38;0;60;Cursando;0;1;1;10
14996;Educação Física;8;5;6,58;1;16;Cursando;0;0;0;10
15008;Enfermagem;4;3,5;3,75;0;8;Cursando;0;1;0;10
15023;Administração;8;4,5;5,64;1;12;Cursando;0;0;0;10
15029;Enfermagem;9;0;4,5;0;12;Cursando;0;1;0;10
15030;Administração;8;3,5;6,21;1;16;Cursando;0;1;0;10
15035;Enfermagem;5;5;5;1;4;Cursando;0;1;0;10
15036;Letras;2;0;0,67;0;56;Evadido;1;0;0;8
15044;Biologia;8;6;6,63;1;21;Cursando;0;1;0;10
15049;Matemática;9,5;1;5;1;14;Cursando;0;0;0;4
15055;Biologia;8,5;5;6,6;1;20;Cursando;0;0;0;10
15059;Educação Física;10;5;7,33;1;8;Cursando;0;0;0;10
15069;Administração;9;2;4,92;0;20;Cursando;0;0;0;8
15076;Biologia;8,5;5;6,14;1;13;Cursando;0;1;0;10
15098;Administração;8;5,5;6,64;1;18;Cursando;0;1;0;10
15100;Administração;8;7,5;7,83;1;6;Cursando;0;1;0;10
15106;Administração;5,5;1;3,5;0;30;Cursando;0;1;0;4
15116;Educação Física;7,5;5;6,08;1;16;Cursando;0;0;0;10
15129;Educação Física;7,5;0;5,67;1;18;Evadido;1;1;0;6
15131;Administração;7;5;5,83;1;12;Cursando;0;1;0;10
15155;Administração;6;0;3,83;0;8;Cursando;0;1;0;10
15161;Administração;5;0;2;0;44;Cursando;0;0;0;10
15169;Enfermagem;9;6;7,33;1;6;Cursando;0;1;0;8
15179;Biologia;5,5;0,5;3,06;0;8;Cursando;0;1;0;8
15186;Administração;8,8;5;6,23;1;12;Cursando;0;0;0;10
